,model,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,mse,rmse,mae,r2
13,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,2,5,200,1871.450804016003,43.26026819167911,13.06901706643149,0.9918134386901992
127,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,4,2,200,1874.9252321481333,43.300406835827,6.946591422306694,0.9917982399904208
154,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,4,2,200,1874.9252321481333,43.300406835827,6.946591422306694,0.9917982399904208
130,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,4,5,200,1874.9252321481333,43.300406835827,6.946591422306694,0.9917982399904208
157,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,4,5,200,1874.9252321481333,43.300406835827,6.946591422306694,0.9917982399904208
5,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,1,5,300,1912.6032756734103,43.73331997085758,12.860790668894944,0.9916334194070044
32,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,1,5,300,1912.6032756734103,43.73331997085758,12.860790668894944,0.9916334194070044
10,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,2,2,200,1954.3386960331025,44.207903094730725,13.187521888295983,0.9914508500459335
37,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,2,2,200,1954.3386960331025,44.207903094730725,13.187521888295983,0.9914508500459335
4,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,1,5,200,1963.0627529615006,44.306464008782065,13.006765718870435,0.9914126871261488
31,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,1,5,200,1963.0627529615006,44.306464008782065,13.006765718870435,0.9914126871261488
29,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,1,2,300,1980.654934655574,44.50454959501977,12.81095664038479,0.9913357310695415
2,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,1,2,300,1980.654934655574,44.50454959501977,12.81095664038479,0.9913357310695415
129,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,4,5,100,1982.7976756691191,44.52861636823133,7.122615290141631,0.9913263577637401
126,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,sqrt,4,2,100,1982.7976756691191,44.52861636823133,7.122615290141631,0.9913263577637401
153,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,4,2,100,1982.7976756691191,44.52861636823133,7.122615290141631,0.9913263577637401
156,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",,log2,4,5,100,1982.7976756691191,44.52861636823133,7.122615290141631,0.9913263577637401
3,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,1,5,100,2002.39546244967,44.748133619735135,13.324590196419964,0.9912406282950994
30,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,1,5,100,2002.39546244967,44.748133619735135,13.324590196419964,0.9912406282950994
39,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,2,5,100,2007.5362709321525,44.805538395740236,13.277031324282165,0.9912181401037276
12,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,2,5,100,2007.5362709321525,44.805538395740236,13.277031324282165,0.9912181401037276
15,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,2,10,100,2023.9004680912412,44.98778131994555,12.802141874547635,0.9911465557996993
42,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,2,10,100,2023.9004680912412,44.98778131994555,12.802141874547635,0.9911465557996993
36,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,log2,2,2,100,2034.5576136229993,45.10607069589413,13.384743384537408,0.9910999366873529
9,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,2,2,100,2034.5576136229993,45.10607069589413,13.384743384537408,0.9910999366873529
1,"RandomForestRegressor(max_features='log2', min_samples_leaf=4,
                      min_samples_split=10, n_estimators=300, random_state=42)",10.0,sqrt,1,2,200,2073.235213801362,45.53279273009028,13.031227628490765,0.9909307435968925
